Date,StockPrice,Trading days,,,,,,,,,,,,,
02/01/2009,313.34,1,,,,,,,,,,,,,
05/01/2009,311.91,2,,,,,,,,,,,,,
06/01/2009,314.04,3,,,,,,,,,,,,,
07/01/2009,319.58,4,,,,,,,,,,,,,
08/01/2009,314.15,5,,,,,,,,,,,,,
09/01/2009,313.40,6,,,,,,,,,,,,,
12/01/2009,312.18,7,,,,,,,,,,,,,
13/01/2009,307.13,8,,,,,,,,,,,,,
14/01/2009,307.98,9,,,,,,,,,,,,,
15/01/2009,304.01,10,,,,,,,,,,,,,
16/01/2009,306.12,11,,,,,,,,,,,,,
19/01/2009,304.98,12,,,,,,,,,,,,,
20/01/2009,302.86,13,,,,,,,,,,,,,
21/01/2009,300.04,14,,,,,,,,,,,,,
22/01/2009,301.12,15,,,,,,,,,,,,,
23/01/2009,303.21,16,,,,,,,,,,,,,
02/02/2009,297.52,17,,,,,,,,,,,,,
03/02/2009,288.69,18,,,,,,,,,,,,,
04/02/2009,286.11,19,,,,,,,,,,,,,
05/02/2009,277.81,20,,,,,,,,,,,,,
06/02/2009,281.63,21,,,,,,,,,,,,,
09/02/2009,287.57,22,,,,,,,,,,,,,
10/02/2009,282.02,23,,,,,,,,,,,,,
11/02/2009,276.22,24,,,,,,,,,,,,,
12/02/2009,276.09,25,,,,,,,,,,,,,
13/02/2009,274.51,26,,,,,,,,,,,,,
16/02/2009,272.31,27,,,,,,,,,,,,,
17/02/2009,263.07,28,,,,,,,,,,,,,
18/02/2009,255.09,29,,,,,,,,,,,,,
19/02/2009,254.85,30,,,,,,,,,,,,,
20/02/2009,252.57,31,,,,,,,,,,,,,
23/02/2009,244.02,32,,,,,,,,,,,,,
24/02/2009,235.50,33,,,,,,,,,,,,,
25/02/2009,244.33,34,,,,,,,,,,,,,
26/02/2009,242.53,35,,,,,,,,,,,,,
27/02/2009,245.74,36,,,,,,,,,,,,,
02/03/2009,247.66,37,,,,,,,,,,,,,
03/03/2009,241.46,38,,,,,,,,,,,,,
04/03/2009,244.36,39,,,,,,,,,,,,,
05/03/2009,246.68,40,,,,,,,,,,,,,
06/03/2009,245.70,41,,,,,,,,,,,,,
09/03/2009,247.85,42,,,,,,,,,,,,,
10/03/2009,251.88,43,,,,,,,,,,,,,
11/03/2009,255.85,44,,,,,,,,,,,,,
12/03/2009,251.01,45,,,,,,,,,,,,,
13/03/2009,251.44,46,,,,,,,,,,,,,
16/03/2009,254.56,47,,,,,,,,,,,,,
17/03/2009,263.20,48,,,,,,,,,,,,,
18/03/2009,273.39,49,,,,,,,,,,,,,
19/03/2009,267.04,50,,,,,,,,,,,,,
20/03/2009,266.62,51,,,,,,,,,,,,,
23/03/2009,260.16,52,,,,,,,,,,,,,
24/03/2009,270.62,53,,,,,,,,,,,,,
25/03/2009,277.63,54,,,,,,,,,,,,,
26/03/2009,286.25,55,,,,,,,,,,,,,
27/03/2009,287.41,56,,,,,,,,,,,,,
30/03/2009,282.38,57,,,,,,,,,,,,,
31/03/2009,280.67,58,,,,,,,,,,,,,
01/04/2009,289.52,59,,,,,,,,,,,,,
02/04/2009,297.30,60,,,,,,,,,,,,,
03/04/2009,310.28,61,,,,,,,,,,,,,
07/04/2009,322.36,62,,,,,,,,,,,,,
08/04/2009,313.76,63,,,,,,,,,,,,,
09/04/2009,311.72,64,,,,,,,,,,,,,
10/04/2009,325.05,65,,,,,,,,,,,,,
13/04/2009,340.01,66,,,,,,,,,,,,,
14/04/2009,347.07,67,,,,,,,,,,,,,
15/04/2009,339.29,68,,,,,,,,,,,,,
16/04/2009,343.88,69,,,,,,,,,,,,,
17/04/2009,334.14,70,,,,,,,,,,,,,
20/04/2009,318.89,71,,,,,,,,,,,,,
21/04/2009,312.77,72,,,,,,,,,,,,,
22/04/2009,321.86,73,,,,,,,,,,,,,
23/04/2009,315.20,74,,,,,,,,,,,,,
24/04/2009,309.90,75,,,,,,,,,,,,,
27/04/2009,313.69,76,,,,,,,,,,,,,
28/04/2009,315.71,77,,,,,,,,,,,,,
29/04/2009,321.63,78,,,,,,,,,,,,,
04/05/2009,336.64,79,,,,,,,,,,,,,
05/05/2009,351.32,80,,,,,,,,,,,,,
06/05/2009,350.14,81,,,,,,,,,,,,,
07/05/2009,363.85,82,,,,,,,,,,,,,
08/05/2009,366.22,83,,,,,,,,,,,,,
11/05/2009,372.95,84,,,,,,,,,,,,,
12/05/2009,381.97,85,,,,,,,,,,,,,
13/05/2009,378.25,86,,,,,,,,,,,,,
14/05/2009,376.75,87,,,,,,,,,,,,,
15/05/2009,390.16,88,,,,,,,,,,,,,
18/05/2009,390.85,89,,,,,,,,,,,,,
19/05/2009,400.90,90,,,,,,,,,,,,,
20/05/2009,410.38,91,,,,,,,,,,,,,
21/05/2009,412.51,92,,,,,,,,,,,,,
22/05/2009,404.58,93,,,,,,,,,,,,,
25/05/2009,421.75,94,,,,,,,,,,,,,
26/05/2009,425.03,95,,,,,,,,,,,,,
27/05/2009,425.17,96,,,,,,,,,,,,,
28/05/2009,415.45,97,,,,,,,,,,,,,
29/05/2009,411.64,98,,,,,,,,,,,,,
01/06/2009,426.43,99,,,,,,,,,,,,,
02/06/2009,440.56,100,,,,,,,,,,,,,
03/06/2009,444.79,101,,,,,,,,,,,,,
04/06/2009,458.19,102,,,,,,,,,,,,,
05/06/2009,478.72,103,,,,,,,,,,,,,
08/06/2009,501.49,104,,,,,,,,,,,,,
09/06/2009,512.46,105,,,,,,,,,,,,,
10/06/2009,497.51,106,,,,,,,,,,,,,
11/06/2009,511.27,107,,,,,,,,,,,,,
12/06/2009,509.59,108,,,,,,,,,,,,,
15/06/2009,493.52,109,,,,,,,,,,,,,
16/06/2009,471.97,110,,,,,,,,,,,,,
17/06/2009,472.47,111,,,,,,,,,,,,,
18/06/2009,479.27,112,,,,,,,,,,,,,
19/06/2009,475.22,113,,,,,,,,,,,,,
22/06/2009,458.11,114,,,,,,,,,,,,,
23/06/2009,438.55,115,,,,,,,,,,,,,
24/06/2009,456.22,116,,,,,,,,,,,,,
25/06/2009,453.76,117,,,,,,,,,,,,,
26/06/2009,461.37,118,,,,,,,,,,,,,
29/06/2009,460.42,119,,,,,,,,,,,,,
30/06/2009,448.29,120,,,,,,,,,,,,,
01/07/2009,430.00,121,,,,,,,,,,,,,
02/07/2009,433.79,122,,,,,,,,,,,,,
03/07/2009,435.44,123,,,,,,,,,,,,,
06/07/2009,454.27,124,,,,,,,,,,,,,
07/07/2009,447.63,125,,,,,,,,,,,,,
08/07/2009,446.79,126,,,,,,,,,,,,,
09/07/2009,446.40,127,,,,,,,,,,,,,
10/07/2009,438.83,128,,,,,,,,,,,,,
13/07/2009,426.67,129,,,,,,,,,,,,,
14/07/2009,418.55,130,,,,,,,,,,,,,
15/07/2009,427.05,131,,,,,,,,,,,,,
16/07/2009,433.47,132,,,,,,,,,,,,,
17/07/2009,428.67,133,,,,,,,,,,,,,
20/07/2009,412.88,134,,,,,,,,,,,,,
21/07/2009,416.43,135,,,,,,,,,,,,,
22/07/2009,419.48,136,,,,,,,,,,,,,
23/07/2009,434.20,137,,,,,,,,,,,,,
24/07/2009,454.71,138,,,,,,,,,,,,,
27/07/2009,469.71,139,,,,,,,,,,,,,
28/07/2009,462.98,140,,,,,,,,,,,,,
29/07/2009,458.04,141,,,,,,,,,,,,,
30/07/2009,451.91,142,,,,,,,,,,,,,
31/07/2009,466.76,143,,,,,,,,,,,,,
03/08/2009,467.93,144,,,,,,,,,,,,,
04/08/2009,476.59,145,,,,,,,,,,,,,
05/08/2009,481.29,146,,,,,,,,,,,,,
06/08/2009,481.44,147,,,,,,,,,,,,,
07/08/2009,480.65,148,,,,,,,,,,,,,
10/08/2009,491.20,149,,,,,,,,,,,,,
11/08/2009,494.17,150,,,,,,,,,,,,,
12/08/2009,497.16,151,,,,,,,,,,,,,
13/08/2009,503.58,152,,,,,,,,,,,,,
14/08/2009,506.99,153,,,,,,,,,,,,,
17/08/2009,500.08,154,,,,,,,,,,,,,
18/08/2009,499.69,155,,,,,,,,,,,,,
19/08/2009,508.46,156,,,,,,,,,,,,,
20/08/2009,513.90,157,,,,,,,,,,,,,
21/08/2009,519.17,158,,,,,,,,,,,,,
24/08/2009,528.20,159,,,,,,,,,,,,,
25/08/2009,528.85,160,,,,,,,,,,,,,
26/08/2009,525.95,161,,,,,,,,,,,,,
27/08/2009,527.04,162,,,,,,,,,,,,,
28/08/2009,536.53,163,,,,,,,,,,,,,
31/08/2009,546.78,164,,,,,,,,,,,,,
01/09/2009,547.69,165,,,,,,,,,,,,,
03/09/2009,540.81,166,,,,,,,,,,,,,
04/09/2009,528.49,167,,,,,,,,,,,,,
07/09/2009,524.51,168,,,,,,,,,,,,,
08/09/2009,537.81,169,,,,,,,,,,,,,
09/09/2009,536.11,170,,,,,,,,,,,,,
10/09/2009,540.19,171,,,,,,,,,,,,,
11/09/2009,547.99,172,,,,,,,,,,,,,
14/09/2009,556.59,173,,,,,,,,,,,,,
15/09/2009,556.75,174,,,,,,,,,,,,,
16/09/2009,556.98,175,,,,,,,,,,,,,
17/09/2009,561.19,176,,,,,,,,,,,,,
18/09/2009,571.01,177,,,,,,,,,,,,,
21/09/2009,577.97,178,,,,,,,,,,,,,
22/09/2009,582.85,179,,,,,,,,,,,,,
23/09/2009,582.11,180,,,,,,,,,,,,,
24/09/2009,574.78,181,,,,,,,,,,,,,
25/09/2009,582.84,182,,,,,,,,,,,,,
28/09/2009,582.02,183,,,,,,,,,,,,,
29/09/2009,582.59,184,,,,,,,,,,,,,
30/09/2009,580.90,185,,,,,,,,,,,,,
01/10/2009,568.99,186,,,,,,,,,,,,,
02/10/2009,549.73,187,,,,,,,,,,,,,
05/10/2009,549.00,188,,,,,,,,,,,,,
06/10/2009,552.03,189,,,,,,,,,,,,,
07/10/2009,566.42,190,,,,,,,,,,,,,
08/10/2009,571.84,191,,,,,,,,,,,,,
09/10/2009,581.99,192,,,,,,,,,,,,,
12/10/2009,594.30,193,,,,,,,,,,,,,
13/10/2009,589.89,194,,,,,,,,,,,,,
14/10/2009,605.65,195,,,,,,,,,,,,,
15/10/2009,617.38,196,,,,,,,,,,,,,
16/10/2009,609.54,197,,,,,,,,,,,,,
19/10/2009,607.11,198,,,,,,,,,,,,,
20/10/2009,616.58,199,,,,,,,,,,,,,
21/10/2009,618.48,200,,,,,,,,,,,,,
22/10/2009,624.10,201,,,,,,,,,,,,,
23/10/2009,615.68,202,,,,,,,,,,,,,
26/10/2009,609.34,203,,,,,,,,,,,,,
27/10/2009,596.78,204,,,,,,,,,,,,,
28/10/2009,599.86,205,,,,,,,,,,,,,
29/10/2009,581.49,206,,,,,,,,,,,,,
30/10/2009,587.12,207,,,,,,,,,,,,,
02/11/2009,561.71,208,,,,,,,,,,,,,
03/11/2009,539.65,209,,,,,,,,,,,,,
04/11/2009,537.53,210,,,,,,,,,,,,,
05/11/2009,555.54,211,,,,,,,,,,,,,
06/11/2009,554.88,212,,,,,,,,,,,,,
09/11/2009,534.09,213,,,,,,,,,,,,,
10/11/2009,524.40,214,,,,,,,,,,,,,
11/11/2009,537.59,215,,,,,,,,,,,,,
12/11/2009,545.98,216,,,,,,,,,,,,,
13/11/2009,548.21,217,,,,,,,,,,,,,
16/11/2009,545.70,218,,,,,,,,,,,,,
17/11/2009,547.08,219,,,,,,,,,,,,,
18/11/2009,553.83,220,,,,,,,,,,,,,
19/11/2009,560.05,221,,,,,,,,,,,,,
20/11/2009,555.84,222,,,,,,,,,,,,,
23/11/2009,537.29,223,,,,,,,,,,,,,
24/11/2009,527.13,224,,,,,,,,,,,,,
25/11/2009,503.41,225,,,,,,,,,,,,,
26/11/2009,482.60,226,,,,,,,,,,,,,
27/11/2009,490.62,227,,,,,,,,,,,,,
30/11/2009,504.12,228,,,,,,,,,,,,,
01/12/2009,514.92,229,,,,,,,,,,,,,
02/12/2009,499.14,230,,,,,,,,,,,,,
03/12/2009,494.80,231,,,,,,,,,,,,,
04/12/2009,494.96,232,,,,,,,,,,,,,
07/12/2009,498.61,233,,,,,,,,,,,,,
08/12/2009,488.47,234,,,,,,,,,,,,,
09/12/2009,470.63,235,,,,,,,,,,,,,
10/12/2009,458.72,236,,,,,,,,,,,,,
11/12/2009,444.16,237,,,,,,,,,,,,,
14/12/2009,458.39,238,,,,,,,,,,,,,
15/12/2009,459.44,239,,,,,,,,,,,,,
16/12/2009,442.10,240,,,,,,,,,,,,,
17/12/2009,434.87,241,,,,,,,,,,,,,
18/12/2009,443.34,242,,,,,,,,,,,,,
21/12/2009,460.99,243,,,,,,,,,,,,,
22/12/2009,465.24,244,,,,,,,,,,,,,
23/12/2009,470.75,245,,,,,,,,,,,,,
24/12/2009,479.13,246,,,,,,,,,,,,,
25/12/2009,495.08,247,,,,,,,,,,,,,
28/12/2009,492.57,248,,,,,,,,,,,,,
29/12/2009,484.45,249,,,,,,,,,,,,,
30/12/2009,495.36,250,,,,,,,,,,,,,
31/12/2009,494.77,251,,,,,,,,,,,,,
04/01/2010,517.05,252,,,,,,,,,,,,,
05/01/2010,532.53,253,,,,,,,,,,,,,
06/01/2010,534.46,254,,,,,,,,,,,,,
07/01/2010,533.34,255,,,,,,,,,,,,,
08/01/2010,520.90,256,,,,,,,,,,,,,
11/01/2010,515.06,257,,,,,,,,,,,,,
12/01/2010,498.31,258,,,,,,,,,,,,,
13/01/2010,508.61,259,,,,,,,,,,,,,
14/01/2010,512.33,260,,,,,,,,,,,,,
15/01/2010,505.42,261,,,,,,,,,,,,,
18/01/2010,487.13,262,,,,,,,,,,,,,
19/01/2010,495.51,263,,,,,,,,,,,,,
20/01/2010,489.50,264,,,,,,,,,,,,,
21/01/2010,478.42,265,,,,,,,,,,,,,
22/01/2010,477.59,266,,,,,,,,,,,,,
25/01/2010,480.91,267,,,,,,,,,,,,,
26/01/2010,497.90,268,,,,,,,,,,,,,
27/01/2010,486.41,269,,,,,,,,,,,,,
28/01/2010,481.76,270,,,,,,,,,,,,,
29/01/2010,481.96,271,,,,,,,,,,,,,
01/02/2010,486.95,272,,,,,,,,,,,,,
02/02/2010,487.93,273,,,,,,,,,,,,,
03/02/2010,495.48,274,,,,,,,,,,,,,
04/02/2010,503.83,275,,,,,,,,,,,,,
05/02/2010,493.04,276,,,,,,,,,,,,,
08/02/2010,491.20,277,,,,,,,,,,,,,
09/02/2010,482.89,278,,,,,,,,,,,,,
10/02/2010,490.91,279,,,,,,,,,,,,,
11/02/2010,499.94,280,,,,,,,,,,,,,
12/02/2010,507.00,281,,,,,,,,,,,,,
22/02/2010,510.02,282,,,,,,,,,,,,,
23/02/2010,496.29,283,,,,,,,,,,,,,
24/02/2010,494.59,284,,,,,,,,,,,,,
25/02/2010,494.99,285,,,,,,,,,,,,,
26/02/2010,496.91,286,,,,,,,,,,,,,
01/03/2010,503.01,287,,,,,,,,,,,,,
02/03/2010,501.00,288,,,,,,,,,,,,,
03/03/2010,507.32,289,,,,,,,,,,,,,
04/03/2010,511.91,290,,,,,,,,,,,,,
05/03/2010,513.39,291,,,,,,,,,,,,,
08/03/2010,521.12,292,,,,,,,,,,,,,
09/03/2010,527.27,293,,,,,,,,,,,,,
10/03/2010,525.67,294,,,,,,,,,,,,,
11/03/2010,524.64,295,,,,,,,,,,,,,
12/03/2010,531.51,296,,,,,,,,,,,,,
15/03/2010,531.86,297,,,,,,,,,,,,,
16/03/2010,516.08,298,,,,,,,,,,,,,
17/03/2010,510.85,299,,,,,,,,,,,,,
18/03/2010,519.73,300,,,,,,,,,,,,,
19/03/2010,515.99,301,,,,,,,,,,,,,
22/03/2010,511.58,302,,,,,,,,,,,,,
23/03/2010,506.53,303,,,,,,,,,,,,,
24/03/2010,512.12,304,,,,,,,,,,,,,
25/03/2010,503.39,305,,,,,,,,,,,,,
26/03/2010,505.30,306,,,,,,,,,,,,,
29/03/2010,505.67,307,,,,,,,,,,,,,
30/03/2010,500.72,308,,,,,,,,,,,,,
31/03/2010,499.24,309,,,,,,,,,,,,,
01/04/2010,508.18,310,,,,,,,,,,,,,
02/04/2010,510.48,311,,,,,,,,,,,,,
05/04/2010,514.79,312,,,,,,,,,,,,,
06/04/2010,515.33,313,,,,,,,,,,,,,
07/04/2010,515.82,314,,,,,,,,,,,,,
08/04/2010,515.93,315,,,,,,,,,,,,,
09/04/2010,517.42,316,,,,,,,,,,,,,
12/04/2010,519.93,317,,,,,,,,,,,,,
13/04/2010,517.98,318,,,,,,,,,,,,,
14/04/2010,516.21,319,,,,,,,,,,,,,
15/04/2010,521.49,320,,,,,,,,,,,,,
16/04/2010,522.03,321,,,,,,,,,,,,,
19/04/2010,516.74,322,,,,,,,,,,,,,
20/04/2010,515.20,323,,,,,,,,,,,,,
21/04/2010,519.70,324,,,,,,,,,,,,,
22/04/2010,529.31,325,,,,,,,,,,,,,
26/04/2010,531.21,326,,,,,,,,,,,,,
27/04/2010,535.72,327,,,,,,,,,,,,,
28/04/2010,539.20,328,,,,,,,,,,,,,
29/04/2010,542.37,329,,,,,,,,,,,,,
04/05/2010,549.12,330,,,,,,,,,,,,,
05/05/2010,548.01,331,,,,,,,,,,,,,
06/05/2010,549.51,332,,,,,,,,,,,,,
07/05/2010,542.03,333,,,,,,,,,,,,,
10/05/2010,534.38,334,,,,,,,,,,,,,
11/05/2010,534.36,335,,,,,,,,,,,,,
12/05/2010,519.60,336,,,,,,,,,,,,,
13/05/2010,518.93,337,,,,,,,,,,,,,
14/05/2010,520.72,338,,,,,,,,,,,,,
17/05/2010,511.27,339,,,,,,,,,,,,,
18/05/2010,508.30,340,,,,,,,,,,,,,
19/05/2010,494.90,341,,,,,,,,,,,,,
20/05/2010,503.55,342,,,,,,,,,,,,,
21/05/2010,483.69,343,,,,,,,,,,,,,
24/05/2010,486.19,344,,,,,,,,,,,,,
25/05/2010,486.25,345,,,,,,,,,,,,,
26/05/2010,492.69,346,,,,,,,,,,,,,
27/05/2010,497.16,347,,,,,,,,,,,,,
28/05/2010,512.99,348,,,,,,,,,,,,,
31/05/2010,507.44,349,,,,,,,,,,,,,
01/06/2010,508.68,350,,,,,,,,,,,,,
02/06/2010,510.74,351,,,,,,,,,,,,,
03/06/2010,511.16,352,,,,,,,,,,,,,
04/06/2010,510.37,353,,,,,,,,,,,,,
07/06/2010,496.89,354,,,,,,,,,,,,,
08/06/2010,497.19,355,,,,,,,,,,,,,
09/06/2010,497.56,356,,,,,,,,,,,,,
10/06/2010,500.51,357,,,,,,,,,,,,,
11/06/2010,504.29,358,,,,,,,,,,,,,
14/06/2010,508.32,359,,,,,,,,,,,,,
15/06/2010,508.01,360,,,,,,,,,,,,,
16/06/2010,510.72,361,,,,,,,,,,,,,
17/06/2010,510.76,362,,,,,,,,,,,,,
18/06/2010,511.18,363,,,,,,,,,,,,,
21/06/2010,514.75,364,,,,,,,,,,,,,
22/06/2010,512.63,365,,,,,,,,,,,,,
23/06/2010,512.82,366,,,,,,,,,,,,,
24/06/2010,511.67,367,,,,,,,,,,,,,
25/06/2010,505.12,368,,,,,,,,,,,,,
28/06/2010,507.28,369,,,,,,,,,,,,,
29/06/2010,510.71,370,,,,,,,,,,,,,
30/06/2010,507.14,371,,,,,,,,,,,,,
01/07/2010,504.02,372,,,,,,,,,,,,,
02/07/2010,503.65,373,,,,,,,,,,,,,
05/07/2010,506.54,374,,,,,,,,,,,,,
06/07/2010,500.82,375,,,,,,,,,,,,,
07/07/2010,496.91,376,,,,,,,,,,,,,
08/07/2010,498.55,377,,,,,,,,,,,,,
09/07/2010,499.46,378,,,,,,,,,,,,,
12/07/2010,499.93,379,,,,,,,,,,,,,
13/07/2010,509.08,380,,,,,,,,,,,,,
14/07/2010,507.34,381,,,,,,,,,,,,,
15/07/2010,505.19,382,,,,,,,,,,,,,
16/07/2010,506.21,383,,,,,,,,,,,,,
19/07/2010,506.84,384,,,,,,,,,,,,,
20/07/2010,506.56,385,,,,,,,,,,,,,
21/07/2010,505.40,386,,,,,,,,,,,,,
22/07/2010,500.28,387,,,,,,,,,,,,,
23/07/2010,500.31,388,,,,,,,,,,,,,
26/07/2010,498.10,389,,,,,,,,,,,,,
27/07/2010,497.67,390,,,,,,,,,,,,,
28/07/2010,491.00,391,,,,,,,,,,,,,
29/07/2010,491.11,392,,,,,,,,,,,,,
30/07/2010,493.91,393,,,,,,,,,,,,,
02/08/2010,491.61,394,,,,,,,,,,,,,
03/08/2010,491.90,395,,,,,,,,,,,,,
04/08/2010,486.71,396,,,,,,,,,,,,,
05/08/2010,486.21,397,,,,,,,,,,,,,
06/08/2010,482.82,398,,,,,,,,,,,,,
09/08/2010,472.74,399,,,,,,,,,,,,,
10/08/2010,461.67,400,,,,,,,,,,,,,
11/08/2010,463.12,401,,,,,,,,,,,,,
12/08/2010,448.40,402,,,,,,,,,,,,,
13/08/2010,452.73,403,,,,,,,,,,,,,
16/08/2010,464.76,404,,,,,,,,,,,,,
17/08/2010,463.52,405,,,,,,,,,,,,,
18/08/2010,455.49,406,,,,,,,,,,,,,
19/08/2010,452.23,407,,,,,,,,,,,,,
20/08/2010,454.84,408,,,,,,,,,,,,,
23/08/2010,447.92,409,,,,,,,,,,,,,
24/08/2010,434.42,410,,,,,,,,,,,,,
25/08/2010,423.89,411,,,,,,,,,,,,,
26/08/2010,427.07,412,,,,,,,,,,,,,
27/08/2010,429.14,413,,,,,,,,,,,,,
30/08/2010,444.55,414,,,,,,,,,,,,,
31/08/2010,455.08,415,,,,,,,,,,,,,
01/09/2010,458.75,416,,,,,,,,,,,,,
06/09/2010,466.00,417,,,,,,,,,,,,,
07/09/2010,460.59,418,,,,,,,,,,,,,
08/09/2010,458.44,419,,,,,,,,,,,,,
09/09/2010,463.68,420,,,,,,,,,,,,,
10/09/2010,451.39,421,,,,,,,,,,,,,
13/09/2010,447.27,422,,,,,,,,,,,,,
14/09/2010,449.01,423,,,,,,,,,,,,,
15/09/2010,448.72,424,,,,,,,,,,,,,
16/09/2010,449.52,425,,,,,,,,,,,,,
17/09/2010,457.58,426,,,,,,,,,,,,,
20/09/2010,457.87,427,,,,,,,,,,,,,
21/09/2010,453.32,428,,,,,,,,,,,,,
22/09/2010,453.90,429,,,,,,,,,,,,,
23/09/2010,450.77,430,,,,,,,,,,,,,
24/09/2010,449.71,431,,,,,,,,,,,,,
27/09/2010,450.20,432,,,,,,,,,,,,,
28/09/2010,455.13,433,,,,,,,,,,,,,
29/09/2010,452.94,434,,,,,,,,,,,,,
30/09/2010,454.52,435,,,,,,,,,,,,,
01/10/2010,451.71,436,,,,,,,,,,,,,
04/10/2010,445.83,437,,,,,,,,,,,,,
05/10/2010,450.96,438,,,,,,,,,,,,,
06/10/2010,460.72,439,,,,,,,,,,,,,
07/10/2010,462.05,440,,,,,,,,,,,,,
08/10/2010,459.26,441,,,,,,,,,,,,,
11/10/2010,459.32,442,,,,,,,,,,,,,
12/10/2010,454.32,443,,,,,,,,,,,,,
13/10/2010,457.70,444,,,,,,,,,,,,,
14/10/2010,458.66,445,,,,,,,,,,,,,
15/10/2010,458.39,446,,,,,,,,,,,,,
18/10/2010,457.59,447,,,,,,,,,,,,,
19/10/2010,454.25,448,,,,,,,,,,,,,
20/10/2010,442.17,449,,,,,,,,,,,,,
21/10/2010,445.05,450,,,,,,,,,,,,,
22/10/2010,445.21,451,,,,,,,,,,,,,
25/10/2010,448.61,452,,,,,,,,,,,,,
26/10/2010,455.12,453,,,,,,,,,,,,,
27/10/2010,450.01,454,,,,,,,,,,,,,
28/10/2010,450.07,455,,,,,,,,,,,,,
29/10/2010,452.63,456,,,,,,,,,,,,,
01/11/2010,451.06,457,,,,,,,,,,,,,
02/11/2010,446.30,458,,,,,,,,,,,,,
03/11/2010,444.16,459,,,,,,,,,,,,,
04/11/2010,448.95,460,,,,,,,,,,,,,
05/11/2010,457.27,461,,,,,,,,,,,,,
08/11/2010,457.13,462,,,,,,,,,,,,,
09/11/2010,449.40,463,,,,,,,,,,,,,
10/11/2010,451.26,464,,,,,,,,,,,,,
11/11/2010,446.69,465,,,,,,,,,,,,,
12/11/2010,441.60,466,,,,,,,,,,,,,
15/11/2010,433.54,467,,,,,,,,,,,,,
16/11/2010,426.89,468,,,,,,,,,,,,,
17/11/2010,425.50,469,,,,,,,,,,,,,
18/11/2010,430.72,470,,,,,,,,,,,,,
19/11/2010,426.51,471,,,,,,,,,,,,,
22/11/2010,426.19,472,,,,,,,,,,,,,
23/11/2010,430.81,473,,,,,,,,,,,,,
24/11/2010,434.48,474,,,,,,,,,,,,,
25/11/2010,439.85,475,,,,,,,,,,,,,
26/11/2010,439.94,476,,,,,,,,,,,,,
29/11/2010,446.36,477,,,,,,,,,,,,,
30/11/2010,451.59,478,,,,,,,,,,,,,
01/12/2010,449.93,479,,,,,,,,,,,,,
02/12/2010,457.42,480,,,,,,,,,,,,,
03/12/2010,464.35,481,,,,,,,,,,,,,
06/12/2010,465.56,482,,,,,,,,,,,,,
07/12/2010,460.76,483,,,,,,,,,,,,,
08/12/2010,452.83,484,,,,,,,,,,,,,
09/12/2010,460.45,485,,,,,,,,,,,,,
10/12/2010,473.06,486,,,,,,,,,,,,,
13/12/2010,490.22,487,,,,,,,,,,,,,
14/12/2010,489.65,488,,,,,,,,,,,,,
15/12/2010,493.47,489,,,,,,,,,,,,,
16/12/2010,480.21,490,,,,,,,,,,,,,
17/12/2010,485.29,491,,,,,,,,,,,,,
20/12/2010,478.29,492,,,,,,,,,,,,,
21/12/2010,481.78,493,,,,,,,,,,,,,
22/12/2010,481.53,494,,,,,,,,,,,,,
23/12/2010,475.41,495,,,,,,,,,,,,,
24/12/2010,472.76,496,,,,,,,,,,,,,
27/12/2010,473.05,497,,,,,,,,,,,,,
28/12/2010,479.33,498,,,,,,,,,,,,,
29/12/2010,478.75,499,,,,,,,,,,,,,
30/12/2010,481.40,500,,,,,,,,,,,,,
31/12/2010,484.66,501,,,,,,,,,,,,,
04/01/2011,485.97,502,,,,,,,,,,,,,
05/01/2011,481.91,503,,,,,,,,,,,,,
06/01/2011,482.31,504,,,,,,,,,,,,,
07/01/2011,481.86,505,,,,,,,,,,,,,
10/01/2011,480.55,506,,,,,,,,,,,,,
11/01/2011,477.44,507,,,,,,,,,,,,,
12/01/2011,478.45,508,,,,,,,,,,,,,
13/01/2011,484.12,509,,,,,,,,,,,,,
14/01/2011,489.22,510,,,,,,,,,,,,,
17/01/2011,495.16,511,,,,,,,,,,,,,
18/01/2011,497.43,512,,,,,,,,,,,,,
19/01/2011,505.91,513,,,,,,,,,,,,,
20/01/2011,511.98,514,,,,,,,,,,,,,
21/01/2011,519.50,515,,,,,,,,,,,,,
24/01/2011,509.88,516,,,,,,,,,,,,,
25/01/2011,501.97,517,,,,,,,,,,,,,
26/01/2011,501.25,518,,,,,,,,,,,,,
27/01/2011,502.68,519,,,,,,,,,,,,,
28/01/2011,510.60,520,,,,,,,,,,,,,
08/02/2011,520.69,521,,,,,,,,,,,,,
09/02/2011,522.59,522,,,,,,,,,,,,,
10/02/2011,520.23,523,,,,,,,,,,,,,
11/02/2011,519.98,524,,,,,,,,,,,,,
14/02/2011,514.05,525,,,,,,,,,,,,,
15/02/2011,517.87,526,,,,,,,,,,,,,
16/02/2011,513.11,527,,,,,,,,,,,,,
17/02/2011,509.83,528,,,,,,,,,,,,,
18/02/2011,503.92,529,,,,,,,,,,,,,
21/02/2011,483.68,530,,,,,,,,,,,,,
22/02/2011,470.02,531,,,,,,,,,,,,,
23/02/2011,470.67,532,,,,,,,,,,,,,
24/02/2011,461.29,533,,,,,,,,,,,,,
25/02/2011,466.96,534,,,,,,,,,,,,,
28/02/2011,461.37,535,,,,,,,,,,,,,
01/03/2011,466.12,536,,,,,,,,,,,,,
02/03/2011,457.83,537,,,,,,,,,,,,,
